id,url,nombre,precio,precio_por,marca,categoria,imagen
VC4AECOMM-019174,https://www.carrefour.es/supermercado/ginebra-london-dry-old-thames-70-cl/R-VC4AECOMM-019174/p,Ginebra London Dry Old Thames 70 cl.,10.89,15.56 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/019174_00_1.jpg
590204695,https://www.carrefour.es/supermercado/ginebra-gvine-70-cl/R-590204695/p,G`Vine Ginebra,40.0,57.14 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/168884_00_1.jpg
fprod1440110,https://www.carrefour.es/supermercado/ginebra-bombay-sapphire-1-l/R-fprod1440110/p,Ginebra Bombay Sapphire 1 l.,30.7,30.70 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/626910_00_1.jpg
VC4AECOMM-355828,https://www.carrefour.es/supermercado/ginebra-seagrams-00-sin-alcohol-70-cl/R-VC4AECOMM-355828/p,"Ginebra Seagram's 0,0% sin alcohol 70 cl.",18.39,26.27 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/355828_00_1.jpg
804031113,https://www.carrefour.es/supermercado/ginebra-beefeater-15-l/R-804031113/p,"Ginebra Beefeater 1,5 l.",29.1,19.40 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/577278_00_1.jpg
VC4AECOMM-625021,https://www.carrefour.es/supermercado/ginebra-beefeater-light-70-cl/R-VC4AECOMM-625021/p,Beefeater Light Ginebra,15.35,21.93 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/625021_00_1.jpg
627801754,https://www.carrefour.es/supermercado/ginebra-hendricks-70-cl/R-627801754/p,Hendrick`S Ginebra,33.9,48.43 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/790098_00_1.jpg
prod910012,https://www.carrefour.es/supermercado/ginebra-roku-70-cl/R-prod910012/p,Roku Ginebra,25.9,37 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/036995_00_1.jpg
VC4AECOMM-652875,https://www.carrefour.es/supermercado/ginebra-strawberry-sherinton-70-cl/R-VC4AECOMM-652875/p,Ginebra strawberry Sherinton 70 cl.,11.49,16.41 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/652875_00_1.jpg
VC4AECOMM-361553,https://www.carrefour.es/supermercado/ginebra-puerto-de-indias-strawberry-00-sin-alcohol-70-cl/R-VC4AECOMM-361553/p,"Ginebra Puerto de Indias strawberry 0,0 sin alcohol 70 cl.",19.09,27.27 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/361553_00_1.jpg
697301680,https://www.carrefour.es/supermercado/ginebra-tanqueray-rangpur-70-cl/R-697301680/p,Tanqueray  Rangpur Ginebra,19.89,28.41 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/097281_00_1.jpg
